Metric,Q1 2026,FY 2025,FY 2024,FY 2023,FY 2022
Cash,331.4,326.7,206.2,179.1,136.8
Goodwill+Intangibles,1190.0,1200.0,950.7,903.7,874.0
LT_Equity_Investment,527.4,515.4,2.5,2.4,2.1
Total_Assets,2590.0,2510.0,1540.0,1430.0,1290.0
Deferred_Revenue_Current,453.8,207.1,166.6,138.8,117.0
Current_Debt,128.2,376.2,249.3,181.7,251.0
LT_Debt,418.0,414.6,102.5,106.1,77.9
Total_Liabilities,1750.0,1730.0,1000.0,840.3,827.0
Total_Equity,837.2,781.8,531.4,592.5,467.8
Noncontrolling_Interests,326.6,308.0,220.1,253.3,201.7
Shareholders_Equity,510.6,473.8,311.3,339.2,266.1
