Metric,Q1_Mar2026,FY_Dec2025,Q4_Dec2025,Q3_Sep2025,Q2_Jun2025,Q1_Mar2025,FY_Dec2024,Q4_Dec2024,Q3_Sep2024,Q2_Jun2024,Q1_Mar2024,FY_Dec2023,Q4_Dec2023,Q3_Sep2023,Q2_Jun2023,Q1_Mar2023,FY_Dec2022,Q4_Dec2022,Q3_Sep2022,Q2_Jun2022
"Cash, cash equivalents and short term investments",331.37M,326.69M,326.69M,276.53M,249.26M,296.31M,206.16M,206.16M,234.61M,233.75M,254.6M,179.06M,179.06M,161.71M,172.32M,197.27M,136.77M,136.77M,135.8M,159.73M
  Cash and cash equivalents,331.17M,326.69M,326.69M,276.06M,249.25M,296.31M,206.16M,206.16M,234.6M,233.75M,254.6M,179.06M,179.06M,161.71M,172.32M,197.27M,136.77M,136.77M,135.8M,159.73M
  Short term investments,199K,1K,1K,470K,1K,0,0,0,2K,2K,3K,3K,3K,2K,2K,2K,2K,2K,2K,2K
Receivables,300.61M,249.81M,249.81M,214.88M,235.83M,242.25M,202.4M,202.4M,170.82M,185.84M,243.95M,201M,201M,187.59M,199.96M,207.3M,145.04M,145.04M,135.97M,142.27M
  Accounts receivable,210.49M,175.61M,175.61M,135.89M,155.31M,171.14M,142.79M,142.79M,107.58M,121.63M,175.77M,134.08M,134.08M,114.82M,130.46M,143.92M,95.79M,95.79M,83.18M,92.32M
  Taxes receivable,3.32M,3.57M,3.57M,1.82M,4.66M,898K,1.54M,1.54M,2.57M,2.47M,3M,2.27M,2.27M,2.9M,3.02M,3.12M,1.47M,1.47M,3.02M,2.22M
  Other receivables,86.8M,70.63M,70.63M,77.17M,75.87M,70.21M,58.07M,58.07M,60.68M,61.74M,65.18M,64.65M,64.65M,69.88M,66.48M,60.25M,47.78M,47.78M,49.77M,47.73M
Inventory,7.87M,7.06M,7.06M,8.38M,7.42M,5.54M,4.93M,4.93M,5.26M,4.97M,4.52M,4.52M,4.52M,4.8M,4.27M,1.48M,1.42M,1.42M,1.34M,902K
Restricted cash,--,--,--,248.47M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hedging assets-current,--,--,--,101.69M,3.88M,4.65M,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other current assets,64.85M,47.68M,47.68M,53.84M,53.68M,53.37M,40.92M,40.92M,46.98M,46.48M,45.12M,33.16M,33.16M,35.04M,33.85M,33.41M,26.56M,26.56M,26.96M,29.47M
Total current assets,704.7M,631.23M,631.23M,903.79M,550.08M,602.12M,454.4M,454.4M,457.66M,471.04M,548.18M,417.74M,417.74M,389.14M,410.4M,439.45M,309.8M,309.8M,300.06M,332.37M
Net PPE,124.04M,124M,124M,120.87M,122.52M,104.65M,98.91M,98.91M,87.92M,83.15M,84.42M,81.1M,81.1M,75.07M,78.29M,73.62M,73.99M,73.99M,76.18M,77.51M
  Gross PPE,124.04M,240.04M,240.04M,120.87M,122.52M,104.65M,200.47M,200.47M,87.92M,83.15M,84.42M,168.52M,168.52M,75.07M,78.29M,73.62M,150.65M,150.65M,76.18M,77.51M
  Accumulated depreciation,--,-116.04M,-116.04M,--,--,--,-101.55M,-101.55M,--,--,--,-87.43M,-87.43M,--,--,--,-76.66M,-76.66M,--,--
