Metric,Q1_Mar2026,FY_Dec2025,Q4_Dec2025,Q3_Sep2025,Q2_Jun2025,Q1_Mar2025,FY_Dec2024,Q4_Dec2024,Q3_Sep2024,Q2_Jun2024,Q1_Mar2024,FY_Dec2023,Q4_Dec2023,Q3_Sep2023,Q2_Jun2023,Q1_Mar2023,FY_Dec2022,Q4_Dec2022,Q3_Sep2022,Q2_Jun2022
Cash flow from continuing operating activities,280.49M,412.68M,107.73M,48.45M,-14.94M,271.45M,347.63M,79.59M,31.73M,8.81M,227.5M,246.56M,62.41M,25.52M,-15.37M,173.99M,203.01M,48.07M,10.92M,-32.02M
Net income from continuing operations,55.06M,70.06M,79.39M,-120.94M,41.48M,70.13M,149.47M,56.19M,38.03M,26.94M,28.31M,115.43M,42.5M,28.35M,23.45M,21.13M,87.61M,28.73M,18.42M,20.1M
Operating gains losses,-3.83M,102.93M,-20.29M,161.15M,-10M,-37.13M,1.04M,1.2M,-401K,-371K,67K,1.72M,451K,360K,275K,632K,-298K,-667K,81K,130K
Depreciation and amortization,56.08M,204.28M,54.46M,54.32M,49.27M,46.23M,169.59M,45.37M,42.69M,41.85M,39.68M,151.71M,39.18M,39.59M,37.68M,35.26M,134.94M,36.51M,36.24M,33.02M
Asset impairment expenditure,0,533K,526K,7K,0,0,617K,-16K,0,0,633K,0,0,0,0,0,--,--,--,--
Deferred tax,9.33M,38.17M,7.06M,11.04M,10.2M,9.88M,34M,10.74M,8.78M,6.41M,8.09M,29.34M,4.49M,8.51M,7.99M,8.34M,16.81M,194K,5.25M,4.81M
Other non cashItems,7.13M,21.9M,12.07M,8.24M,7.18M,3.61M,21.14M,3.06M,7.22M,6.81M,4.61M,18.71M,5.27M,4.95M,4.17M,4.32M,9.37M,6.35M,1.62M,-181K
Change In working capital,174.02M,28.4M,-13.22M,-51.34M,-97.57M,190.53M,27.11M,-19.19M,-49.74M,-58.97M,155.01M,-20.06M,-18.42M,-42.78M,-75.47M,116.6M,504K,-8.01M,-40.47M,-79.64M
  Change in receivables,-48.69M,16.39M,-19.64M,24.94M,46.33M,-35.24M,11.4M,-26.98M,19.47M,58.43M,-39.53M,-15.41M,-8.54M,16.36M,26.37M,-49.6M,-6M,-7.59M,15.47M,4.65M
  Change in inventory,-39K,-417K,1.34M,-912K,-262K,-584K,292K,1.04M,-300K,-454K,3K,405K,338K,-129K,257K,-61K,-18K,-41K,344K,-215K
  Change in payables and accrued expense,-3.95M,22.23M,34.8M,16.96M,-61.33M,31.8M,7.81M,40.99M,7.12M,-50.94M,10.64M,10.74M,35.54M,5.73M,-39.56M,9.03M,12.13M,32.39M,-2.11M,-33.38M
  Change in other current assets,-17.03M,-12.62M,7.49M,-8.39M,-1.51M,-10.22M,4.34M,9.8M,-1.62M,925K,-4.77M,-11.44M,-1.42M,-1.04M,1.2M,-10.18M,-8.7M,1.11M,667K,-1.93M
  Change in other current liabilities,4.89M,-5.59M,2.86M,-3.2M,-3.22M,-2.02M,-4.54M,-3.12M,3.79M,-1.84M,-3.37M,-7.55M,-708K,-84K,-6.41M,-347K,2.87M,2.11M,274K,-1.95M
  Change in other working capital,238.84M,8.41M,-40.07M,-80.74M,-77.59M,206.8M,7.81M,-40.93M,-78.21M,-65.09M,192.04M,3.19M,-43.64M,-63.61M,-57.32M,167.77M,232K,-35.99M,-55.12M,-46.81M
Tax refund paid,-17.3M,-53.6M,-12.27M,-14.02M,-15.51M,-11.8M,-55.34M,-17.76M,-14.84M,-13.85M,-8.9M,-50.28M,-11.07M,-13.46M,-13.47M,-12.28M,-45.93M,-15.04M,-10.21M,-10.26M
Operating cash flow,280.49M,412.68M,107.73M,48.45M,-14.94M,271.45M,347.63M,79.59M,31.73M,8.81M,227.5M,246.56M,62.41M,25.52M,-15.37M,173.99M,203.01M,48.07M,10.92M,-32.02M
Cash flow from continuing investing activities,-21.91M,-670.01M,-6.87M,-266.81M,-187.5M,-208.82M,-110.22M,-29.78M,-26.09M,-11.96M,-42.39M,-127.2M,-17.84M,-11.97M,-67.1M,-30.29M,-133.41M,-14.49M,-35.85M,-68.8M
Net PPE purchase and sale,-3.24M,-10.65M,-2.33M,-1.65M,-3.77M,-2.9M,-8.28M,-1.92M,-1.96M,-1.75M,-2.66M,-7.78M,-2.53M,-1.38M,-1.89M,-1.98M,-7.3M,-2.49M,-1.2M,-1.59M
Net business purchase and sale,-17.91M,-282.46M,133.67M,-18.01M,-192.38M,-205.76M,-99.81M,-33.26M,-22.6M,-10.21M,-33.73M,-119.18M,-15.07M,-10.59M,-65.21M,-28.31M,-129.13M,-12M,-34.66M,-70.24M
Net investment purchase and sale,--,-384.88M,--,--,--,--,0,--,--,--,--,-248K,--,--,--,--,0,--,--,--
Interest received (cash flow from investment activities),572K,9.55M,1.36M,-376K,8.3M,255K,0,0,0,0,0,--,--,--,--,--,3.03M,0,0,3.03M
Net other investing changes,-1.34M,-1.56M,245.3M,-246.78M,342K,-424K,-2.13M,5.4M,-1.53M,--,-6M,--,--,--,--,--,--,--,1K,-1K
Investing cash flow,-21.91M,-670.01M,-6.87M,-266.81M,-187.5M,-208.82M,-110.22M,-29.78M,-26.09M,-11.96M,-42.39M,-127.2M,-17.84M,-11.97M,-67.1M,-30.29M,-133.41M,-14.49M,-35.85M,-68.8M
Cash flow from continuing financing activities,-256.01M,381.07M,-49.35M,245.43M,159.89M,25.1M,-211.6M,-79.38M,-4.34M,-18.4M,-109.48M,-77.98M,-28.2M,-24.11M,57.2M,-82.86M,-8.15M,-32.61M,1M,43.5M
Net issuance payments of debt,-247.64M,416.14M,-35.17M,251.02M,169.7M,30.6M,30.43M,-71.26M,4.56M,818K,96.32M,-72.54M,-21.72M,-27.82M,56.43M,-79.43M,67.38M,-24.81M,-3.01M,46.79M
Cash dividends paid,0,0,0,0,0,0,-127.64M,0,0,0,-127.64M,0,0,0,0,0,-66.61M,0,0,0
Interest paid (cash flow from financing activities),-4.61M,-27.92M,-13.83M,-3.69M,-5.03M,-5.37M,-23.18M,-6.28M,-6.08M,-7.21M,-3.62M,-17.2M,-4.81M,-5.18M,-3.85M,-3.37M,-13.02M,-4.74M,-3.74M,-2.71M
Net other financing activities,-3.76M,-7.16M,-341K,-1.91M,-4.78M,-128K,-91.21M,-1.84M,-2.82M,-12.01M,-74.54M,11.76M,-1.68M,8.89M,4.62M,-63K,4.1M,-3.06M,7.75M,-580K
Financing cash flow,-256.01M,381.07M,-49.35M,245.43M,159.89M,25.1M,-211.6M,-79.38M,-4.34M,-18.4M,-109.48M,-77.98M,-28.2M,-24.11M,57.2M,-82.86M,-8.16M,-32.61M,1M,43.5M
Beginning cash position,326.69M,206.16M,276.06M,249.25M,296.31M,206.16M,179.06M,234.6M,233.75M,254.6M,179.06M,136.77M,161.71M,172.32M,197.27M,136.77M,75.33M,135.8M,159.73M,217.05M
Current changes in cash,2.57M,123.74M,51.51M,27.06M,-42.55M,87.72M,25.81M,-29.57M,1.31M,-21.56M,75.63M,41.38M,16.37M,-10.57M,-25.27M,60.84M,61.45M,975K,-23.93M,-57.32M
Effect of exchange rate changes,1.92M,-3.21M,-883K,-256K,-4.5M,2.43M,1.29M,1.13M,-452K,706K,-88K,909K,982K,-41K,317K,-348K,0,0,0,0
End cash Position,331.17M,326.69M,326.69M,276.06M,249.25M,296.31M,206.16M,206.16M,234.6M,233.75M,254.6M,179.06M,179.06M,161.71M,172.32M,197.27M,136.77M,136.77M,135.8M,159.73M
Free cash from,277.25M,402.02M,105.39M,46.79M,-18.71M,268.55M,339.34M,77.67M,29.77M,7.06M,224.84M,238.78M,59.88M,24.14M,-17.26M,172.01M,195.71M,45.58M,9.73M,-33.61M
